sr_no,category,document_date,supplier,inv_ref_no,make,model,colour,reg_no,buying_price,non_vat,std_net,vat_amount
48,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
49,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
50,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
51,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
52,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
53,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
54,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
55,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
56,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
57,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
58,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
59,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
60,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
61,purchase,N/A,This is a service based email from Auto Trader. You will not receive any marketing communications from Auto Trader unless you have,Payment,N/A,N/A,N/A,N/A,1.00,1.00,1.00,1.00
